"","Eli_repA_tech1.sorted.bam","Eli_repB_tech1.2.sorted.bam","Eli_repC_tech1.sorted.bam","Elizabeth_repA_tech1.sorted.bam","Elizabeth_repB_tech1.2.sorted.bam","Elizabeth_repC_tech1.sorted.bam","Eric_repA_tech1.sorted.bam","Eric_repB_tech1.2.sorted.bam","Eric_repC_tech1.sorted.bam","Ethan_repA_tech1.sorted.bam","Ethan_repB_tech1.2.sorted.bam","Ethan_repC_tech1.sorted.bam"
"NM_001085452",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001085457",457,436,1292,887,1007,131,824,650,384,911,842,775
"NM_001085471",1901,1294,4045,2096,1358,698,2779,988,1179,3369,1296,2133
"NM_001085480",0,0,0,0,0,0,0,0,2,0,0,0
"NM_001085481",77,52,174,40,41,30,73,16,33,57,19,54
"NM_001085486",2,4,16,0,2,0,0,0,0,2,2,1
"NM_001085487",1364,839,4440,2078,1206,277,2095,746,1143,1789,1120,1792
"NM_001086",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001087",542,1650,1158,386,1474,227,490,928,230,660,1538,501
"NM_001089",112,115,281,128,121,70,83,57,70,105,89,208
"NM_001089584",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001091",0,0,0,0,0,0,0,0,0,0,3,0
"NM_001093",23,18,70,64,51,12,61,44,68,54,28,50
"NM_001093725",63,40,152,35,42,34,34,55,63,66,25,54
"NM_001093729",19,20,72,26,16,5,28,13,15,13,26,24
"NM_001093730",1,0,0,0,0,0,0,0,0,3,1,0
"NM_001093771",1185,1130,2040,930,1522,371,1311,1000,373,1210,1361,913
"NM_001094",1,0,1,0,0,0,0,0,0,0,0,0
"NM_001096",3636,4522,5827,2534,4470,1327,2669,2235,1051,4571,3929,2734
"NM_001097577",9,16,25,2,17,5,5,7,1,5,8,7
"NM_001097600",53,41,102,67,69,16,46,16,3,10,24,9
"NM_001097611",0,0,0,0,0,0,1,0,0,0,0,1
"NM_001097612",657,850,1130,614,841,179,614,535,300,828,995,534
"NM_001097613",647,851,1143,612,827,180,619,577,285,818,994,531
"NM_001097615",1565,1026,3053,788,720,495,1482,557,830,1707,936,1566
"NM_001097620",0,2,4,0,2,1,6,0,1,0,1,4
"NM_001097622",1,0,0,1,0,0,2,0,0,0,0,0
"NM_001097634",336,326,1145,90,127,16,251,126,139,297,219,225
"NM_001097638",1,2,17,0,1,0,0,0,2,0,3,3
"NM_001098",1803,2902,3756,1254,2928,821,1594,1733,823,2417,2495,1746
"NM_001098169",0,0,0,0,0,0,0,0,0,3,0,0
"NM_001098173",1,1,6,0,1,0,1,0,0,3,0,4
"NM_001098175",10976,6139,23370,10206,7066,2190,11320,4651,5333,10632,7003,9898
"NM_001098199",0,0,0,1,0,0,0,1,2,1,1,1
"NM_001098200",4,4,17,5,15,3,64,46,43,21,9,2
"NM_001098202",928,1707,2633,839,2265,450,859,1633,590,1177,1475,951
"NM_001098204",3020,3412,4717,2253,4091,1027,3161,2477,1035,3820,4040,2359
"NM_001098213",1,1,1,0,0,0,0,0,0,0,0,0
"NM_001098270",941,1564,1782,542,987,228,444,534,256,1218,1188,677
"NM_001098376",0,0,1,0,0,0,0,0,0,0,3,0
"NM_001098398",5440,5943,8176,4203,5195,1619,5725,3231,2053,7522,5449,3770
"NM_001098414",798,327,1639,702,417,228,926,201,387,819,386,604
"NM_001098426",984,2009,1888,680,2102,352,785,1425,465,1201,2060,870
"NM_001098475",2,2,6,10,1,1,1,6,0,5,7,11
