bamfilename	SRR	celltype	condition	replicate
SRR4098430.sorted.bam	SRR4098430	hct116	dmso	A
SRR4098431.sorted.bam	SRR4098431	hct116	dmso	B
SRR4098432.sorted.bam	SRR4098432	hct116	nutlin	A
SRR4098433.sorted.bam	SRR4098433	hct116	nutlin	B
