Xkr4
Sox17
Mrpl15
Lypla1
Tcea1
Rgs20
Atp6v1h
Rb1cc1
St18
Pcmtd1
Sntg1
Rrs1
Adhfe1
3110035E14Rik
Mybl1
Vcpip1
1700034P13Rik
Sgk3
Mcmdc2
Snhg6
Cops5
Cspp1
Arfgef1
Prex2
A830018L16Rik
Sulf1
Slco5a1
Ncoa2
Tram1
Lactb2
Eya1
Kcnb2
Terf1
Sbspon
Rpl7
Rdh10
Stau2
Ube2w
Tceb1
Tmem70
Jph1
Gdap1
Mcm3
Paqr8
Tram2
Tmem14a
Kcnq5
Rims1
Ogfrl1
B3gat2
Smap1
Sdhaf4
Fam135a
Col19a1
Lmbrd1
Adgrb3
Gm20172
Phf3
Ptp4a1
Gm13363
Khdrbs2
Gm9839
Gm5415
Prim2
1700001G17Rik
Rab23
Bag2
Zfp451
Gm15455
Bend6
Dst
Ccdc115
Imp4
Amer3
Arhgef4
Fam168b
Plekhb2
Hs6st1
Uggt1
Arid5a
Kansl3
Fer1l5
Lman2l
Cnnm4
Cnnm3
Ankrd23
Ankrd39
Sema4c
Cox5b
Actr1b
Tmem131
Inpp4a
Coa5
Unc50
Mgat4a
4930594C11Rik
2010300C02Rik
Tsga10
Lipt1
Mitd1
Mrpl30
Txndc9
Eif5b
Rev1
Aff3
Lonrf2
Chst10
Pdcl3
Npas2
Rpl31
Tbc1d8
Cnot11
Snord89
Rnf149
Creg2
Map4k4
Mfsd9
Pantr1
Pou3f3
2900092D14Rik
Pantr2
Mrps9
Gpr45
Tgfbrap1
AI597479
Fhl2
Nck2
1500015O10Rik
Uxs1
Tpp2
Tex30
Kdelc1
Bivm
Ercc5
Gulp1
Col3a1
Col5a2
Wdr75
Slc40a1
Dnah7b
Slc39a10
Tmeff2
Sdpr
Nabp1
Myo1b
Stat1
Gls
Nab1
Tmem194b
Mfsd6
Inpp1
Hibch
Pms1
Ormdl1
Osgepl1
Asnsd1
Dnah7a
Stk17b
Hecw2
Gtf3c3
Pgap1
Ankrd44
Sf3b1
Coq10b
Hspd1
Hspe1
Mob4
Rftn2
Mars2
Plcl1
Satb2
9130024F11Rik
1700066M21Rik
Tyw5
9430016H08Rik
Spats2l
Kctd18
Sgol2a
Aox4
Bzw1
Clk1
Ppil3
Nif3l1
Orc2
Fam126b
Ndufb3
Cflar
Casp8
Trak2
Stradb
Tmem237
Mpp4
Als2
Fzd7
Gm973
Sumo1
Nop58
Bmpr2
Fam117b
Ica1l
Wdr12
Carf
Nbeal1
Cyp20a1
Abi2
Raph1
Pard3b
Nrp2
4930487H11Rik
Ino80d
Ino80dos
Ndufs1
Eef1b2
Snora41
Zdbf2
Adam23
Fastkd2
Klf7
Creb1
Mettl21a
Ccnyl1
Plekhm3
Idh1
Pikfyve
Map2
Unc80
Rpe
Kansl1l
Acadl
Lancl1
Erbb4
Ikzf2
Vwc2l
Bard1
Atic
Fn1
Pecr
Tmem169
Xrcc5
4-Mar
Smarcal1
Rpl37a
Igfbp2
Igfbp5
Tns1
Arpc2
Aamp
Pnkd
Tmbim1
Ctdsp1
Usp37
Rqcd1
Plcd4
Zfp142
Bcs1l
Rnf25
Stk36
Ttll4
Cdk5r2
Cnppd1
Fam134a
Zfand2b
Abcb6
Atg9a
Ankzf1
Glb1l
Stk16
Tuba4a
Dnajb2
Ptprn
Resp18
Dnpep
Speg
Gmppa
Asic4
Chpf
Tmem198
Obsl1
Inha
Stk11ip
Slc4a3
Epha4
Mir6352
Sgpp2
Farsb
Acsl3
Utp14b
Scg2
Wdfy1
Mrpl44
Serpine2
Cul3
Dock10
Nyap2
Irs1
Rhbdd1
Col4a4
Mff
Agfg1
Sphkap
Pid1
Dner
Trip12
Slc16a14
A530032D15Rik
Sp140
Cab39
Itm2c
2810459M11Rik
Psmd1
Htr2b
Armc9
B3gnt7
Ncl
Snora75
Ptma
Pde6d
Cops7b
Dis3l2
Ecel1
Eif4e2
Gigyf2
Kcnj13
Ngef
Inpp5d
Atg16l1
Scarna6
Dgkd
Usp40
Dnajb3
Mroh2a
Hjurp
6430706D22Rik
A730008H23Rik
Arl4c
Sh3bp4
Agap1
4933400F21Rik
Ackr3
Cops8
Col6a3
Lrrfip1
Ramp1
Ube2f
Scly
Fam132b
Ilkap
Hes6
Per2
Traf3ip1
Asb1
Hdac4
Ndufa10
Myeov2
Gpc1
Dusp28
Rnpepl1
9430060I03Rik
Capn10
Kif1a
Sned1
Mterf4
Pask
Ppp1r7
Hdlbp
2-Sep
Farp2
Stk25
Bok
Thap4
Atg4b
Dtymk
Ing5
D2hgdh
Fam174a
St8sia4
D1Ertd622e
Ppip5k2
Gin1
Pam
B230216N24Rik
Cntnap5b
Cdh20
Rnf152
Pign
2310035C23Rik
Tnfrsf11a
Zcchc2
Phlpp1
Bcl2
Kdsr
Vps4b
Cdh7
Dsel
Cntnap5a
Tsn
Nifk
Clasp1
2900060B14Rik
Tfcp2l1
Gli2
Inhbb
Ralb
Tmem185b
Epb4.1l5
Ptpn4
Tmem177
Dbi
3110009E18Rik
Steap3
Insig2
Ccdc93
Ddx18
Dpp10
Actr3
Slc35f5
Lypd1
Nckap5
Mgat5
Tmem163
Ccnt2
Rab3gap1
Zranb3
R3hdm1
Ubxn4
Lct
Mcm6
Dars
Cxcr4
Thsd7b
Cd55
Pfkfb2
Yod1
Mapkapk2
Dyrk3
Eif2d
Rassf5
Srgap2
Fam72a
Slc41a1
Rab29
Nucks1
Slc45a3
Elk4
Mfsd4
Lemd1
Klhdc8a
Nuak2
Tmcc2
Dstyk
Rbbp5
Tmem81
Cntn2
Nfasc
Gm10538
Lrrn2
Mdm4
Pik3c2b
Ppp1r15b
Plekha6
Etnk2
Sox13
Snrpe
Zc3h11a
Zbed6
Atp2b4
Optc
Prelp
Btg2
Mybph
Adora1
Ppfia4
Tmem183a
Cyb5r1
Adipor1
Klhl12
Rabif
Kdm5b
Syt2
Ppp1r12b
Ube2t
Arl8a
Rnpep
Timm17a
Shisa4
Ipo9
Nav1
Csrp1
Phlda3
Tmem9
Kif21b
5730559C18Rik
Gpr25
Camsap2
Ddx59
Kif14
Zfp281
Nek7
Lhx9
2310009B15Rik
Dennd1b
Crb1
Zbtb41
Aspm
Cfh
Kcnt2
Cdc73
B3galt2
Glrx2
Trove2
Uchl5
Rgs2
Rgs13
Brinp3
BC003331
Tpr
Prg4
Hmcn1
Ivns1abp
Swt1
Trmt1l
Rnf2
Fam129a
Edem3
1700025G04Rik
Tsen15
Colgalt2
Rgl1
Arpc5
Ncf2
Smg7
Nmnat2
Lamc1
Shcbp1l
Dhx9
Npl
Rgs8
Rgs16
Rnasel
Rgsl1
Glul
Cacna1e
Ier5
Mr1
Stx6
Xpr1
Gm5532
Acbd6
