Khdrbs2
Rnf149
Wdr75
Pgap1
Hspd1
Mob4
Bzw1
Orc2
Wdr12
Ndufs1
Creb1
Pikfyve
Erbb4
Atg9a
Ptprn
Usp40
Insig2
Lct
Zc3h11a
Zfp281
Dhx9
Pou2f1
Pea15a
Cadm3
Hnrnpu
Ahctf1
Nvl
Lpgat1
Ppil4
Fbxo30
Hbs1l
Sesn1
Ostm1
Grik2
Zfa-ps
Pcdh15
Gm5779
Col6a2
Rexo1
Gng7
Zfr2
Tjp3
Pip5k1c
Cactin
Socs2
Krr1
Cpsf6
Grip1
Avil
Os9
Arhgef25
Dtx3
Selm
Slc35e4
Zmiz2
Aftph
Peli1
Vps54
Xpo1
Cfap36
Sqstm1
Mgat4b
Hnrnph1
Gm2a
Sparc
Rnf187
Usp22
Lrrc75a
Glp2r
Slc25a35
Vamp2
Neurl4
Dlg4
Sgsm2
Ankrd13b
Flot2
Pigs
Sarm1
Appbp2
Ypel2
4-Sep
Mbtd1
Itga3
Jup
P3h4
Fkbp10
Dnajc7
Rab5c
Ptrf
Vat1
Mpp2
Ftsj3
Mir3064
Wbp2
Ube2o
Hgs
Arhgdia
Ubxn2a
Atad2b
Hpcal1
Klf11
Lamb1
Hbp1
Nova1
G2e3
Strn3
Egln3
Srp54a
Srp54b
Srp54c
Aldoart2
Ctage5
Map4k5
Hif1a
Zbtb1
Cox16
Flrt2
Atxn3
Papola
Cdc42bpb
Zkscan3
2610307P16Rik
Dek
Nsd1
Gkap1
2210408I21Rik
C130071C03Rik
Tmem161b
Tnpo1
Gtf2h2
Skiv2l2
Gm5087
Slc4a7
Top2b
Nr1d2
Zswim8
Stab1
Psmc6
Socs4
Supt16
Abhd4
Lrp10
Ipo4
Nynrin
Xpo4
Zdhhc20
Extl3
Fzd3
Rcbtb2
Lpar6
Zc3h13
Klf12
Rnf219
Gm5089
Gm10389
6030458C11Rik
Mtdh
Ptp4a3
Plec
Grina
Oplah
Foxred2
Maff
Ttll12
Kif21a
Scaf11
Cacnb3
Prpf40b
Grasp
Hnrnpa1
Gm10052
Gm5643
Mgrn1
Gspt1
Gp1bb
5-Sep
Klhl24
Tra2b
Bcl6
Acap2
Dlg1
Ubxn7
Lrch3
BC027231
Bbx
Cep97
Senp7
Impg2
Rbm11
Hspa13
Nrip1
Usp25
Cxadr
Mrpl39
Jam2
Atp5j
App
Adamts1
Adamts5
N6amt1
Ltn1
Rwdd2b
Cct8
Bach1
Grik1
Tiam1
Gm10789
Sod1
Scaf4
Hunk
Mis18a
Urb1
1110004E09Rik
Synj1
Ifnar2
Il10rb
A930006K02Rik
Ifnar1
Ifngr2
Tmem50b
Dnajc28
Gart
Son
Donson
Cryzl1
Itsn1
Atp5o
Mrps6
Smim11
Rcan1
Cbr1
Dopey2
Morc3
Chaf1b
Hlcs
Pigp
Dscr3
Dyrk1a
Ets2
Psmg1
Brwd1
Hmgn1
Wrb
B3galt5
Pcp4
Dscam
C2cd2
Zbtb21
Zdhhc14
Qk
Chd1
Zfp51
Amdhd2
Ift140
Cacna1h
Cpne5
Hnrnpm
Rab11b
Ehmt2
Gnl1
Pex6
Foxp4
Kat2b
Prkd3
Eml4
Mib1
Trappc8
Zfp191
Rprd1a
Tpgs2
Tcerg1
Stk32a
Dcp2
Adamts19
Mbp
Gstp1
Gstp2
Adrbk1
Fibp
Sipa1
Ppp2r5b
Plcb3
Syt7
Uhrf2
Cep55
Hells
Sema4g
Pdcd4
Dclre1a
Ccdc186
Kin
Bmi1
Nelfb
Anapc2
Gm996
Ralgds
Zer1
Fam73b
Sh2d3c
Cntrl
Rc3h2
Arl5a
Psmd14
Tlk1
Dcaf17
Tnks1bp1
Nup160
Mapk8ip1
Itch
Ergic3
Slmo2
Zfhx4
Gm9833
Pde7a
Anxa5
Spata5
Plk4
Jade1
Sclt1
Med12l
Kpna4
Nmd3
Adam15
Rfx5
Gabpb2
Anp32e
Trim33
Phtf1
Gstm1
Ampd2
Ptbp2
Sec24d
Odf2l
Fubp1
Usp33
Tmem68
Trp53inp1
Ints8
Lyrm2
Slc35a1
Topors
Mpdz
Snapc3
Cntln
Dock7
Pgm2
Pik3r3
Nasp
Slc2a1
Mycbp
Map7d1
Pnrc2
Pithd1
Nbl1
Atp13a2
Fam131c
Smarca5-ps
Gm13034
Tardbp
Ctnnbip1
Plekhg5
Plch2
Dbf4
Reln
Klhl7
Emilin1
Whsc1
Haus3
Add1
Afap1
D5Ertd579e
Wfs1
5730480H06Rik
Sod3
Pds5a
N4bp2
Dcun1d4
Ulk1
2900026A02Rik
Cmklr1
Plbd2
Denr
Sbno1
Scarb1
Bri3bp
Serpine1
Gnb2
Slc29a4
Zfp655
Ccdc132
Casd1
Flnc
Tnpo3
Mkln1
Kdm7a
Clcn1
Hnrnpa2b1
9430076C15Rik
Hpgds
Serbp1
Rmnd5a
Dctn1
Gmcl1
Podxl2
Gm15612
Tmf1
Ppp4r2
Tada3
Ankrd26
Pex26
Eno2
Vwf
Clec2d
Fgfr1op2
Dennd5b
Zfp580
Ehd2
Hif3a
Gpr4
Ppp1r13l
Mark4
Ppp1r37
Gsk3a
Numbl
Clip3
Emc10
Myh14
Ptov1
Scaf1
Nucb1
Chd2
1810026B05Rik
Idh2
Sec11a
4632427E13Rik
Capn5
Stim1
Parva
Ccp110
Tmem159
Tufm
Aldoa
Sez6l2
Zfp768
Lhpp
Ifitm2
B4galnt4
Dusp8
H19
Igf2
Kcnq1ot1
Osbpl5
Evi5l
Col4a2
Fgfr1
Wrn
Cdkn2aip
Gmip
Isyna1
Ssbp4
Rab3a
Mast3
Slc10a7
Otud4
Pkn1
Tnpo2
A230103J11Rik
Fbxw9
Dhps
Slc38a7
Slc12a4
Cntnap4
Fbxo31
2610044O15Rik8
Cep126
Maml2
Sesn3
Taf1d
Pde4a
Rab3d
Vps26b
Sidt2
Zc3h12c
Ireb2
Cspg4
Hexa
Senp8
Pias1
Ice2
Anxa2
Fam214a
Gclc
Aste1
Nckipsd
Map4
Trak1
Upf3b
Xiap
Hprt
Mospd1
Mmgt1
Slitrk2
Pnck
Zfx
Rlim
Abcb7
Uprt
Hnrnph2
Armcx4
Zf12
